epoch,train_loss,val_loss,train_acc,val_acc,iteration,mid_layer,dropout,dataset,network,lr
16,2.225857973098755,2.2701478004455566,0.1796875,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
17,2.2241806983947754,2.268676519393921,0.1875,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
18,2.2226178646087646,2.2673630714416504,0.1953125,0.18,2,2,0.0,mnist,multiclass_mlp,0.001
19,2.220923900604248,2.2659873962402344,0.1953125,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
20,2.2189738750457764,2.264777183532715,0.203125,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
21,2.2168843746185303,2.2638540267944336,0.1953125,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
22,2.2146825790405273,2.2631113529205322,0.1953125,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
23,2.212493896484375,2.2624475955963135,0.1953125,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
24,2.2104616165161133,2.2618093490600586,0.1953125,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
25,2.2084603309631348,2.26115345954895,0.1953125,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
26,2.206648349761963,2.2602858543395996,0.1953125,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
27,2.204916000366211,2.2593166828155518,0.203125,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
28,2.2031474113464355,2.2582404613494873,0.2109375,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
29,2.201331853866577,2.2570323944091797,0.2109375,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
30,2.1994476318359375,2.256044387817383,0.2109375,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
31,2.197618246078491,2.2551450729370117,0.203125,0.15,2,2,0.0,mnist,multiclass_mlp,0.001
32,2.195909261703491,2.254246711730957,0.2109375,0.15,2,2,0.0,mnist,multiclass_mlp,0.001
33,2.1944315433502197,2.2534403800964355,0.21875,0.15,2,2,0.0,mnist,multiclass_mlp,0.001
34,2.1928865909576416,2.252725601196289,0.21875,0.15,2,2,0.0,mnist,multiclass_mlp,0.001
35,2.191274881362915,2.2520971298217773,0.21875,0.15,2,2,0.0,mnist,multiclass_mlp,0.001
36,2.1895978450775146,2.251492977142334,0.21875,0.15,2,2,0.0,mnist,multiclass_mlp,0.001
37,2.187918186187744,2.250869035720825,0.21875,0.16,2,2,0.0,mnist,multiclass_mlp,0.001
38,2.186236619949341,2.2502858638763428,0.21875,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
39,2.1846675872802734,2.249718189239502,0.2265625,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
40,2.1832170486450195,2.249105453491211,0.2265625,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
41,2.181795835494995,2.248368263244629,0.2265625,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
42,2.1803226470947266,2.2474350929260254,0.2265625,0.17,2,2,0.0,mnist,multiclass_mlp,0.001
43,2.178830623626709,2.2463743686676025,0.2265625,0.18,2,2,0.0,mnist,multiclass_mlp,0.001
44,2.1773641109466553,2.2453691959381104,0.2265625,0.18,2,2,0.0,mnist,multiclass_mlp,0.001
45,2.1759164333343506,2.2444019317626953,0.21875,0.18,2,2,0.0,mnist,multiclass_mlp,0.001
46,2.174639940261841,2.2435848712921143,0.21875,0.18,2,2,0.0,mnist,multiclass_mlp,0.001
47,2.1733624935150146,2.2428886890411377,0.2265625,0.19,2,2,0.0,mnist,multiclass_mlp,0.001
48,2.172057867050171,2.242342472076416,0.2265625,0.19,2,2,0.0,mnist,multiclass_mlp,0.001
49,2.1707522869110107,2.2419533729553223,0.2265625,0.19,2,2,0.0,mnist,multiclass_mlp,0.001
50,2.1695311069488525,2.2416186332702637,0.2265625,0.2,2,2,0.0,mnist,multiclass_mlp,0.001
51,2.1684410572052,2.2412776947021484,0.2265625,0.2,2,2,0.0,mnist,multiclass_mlp,0.001
52,2.1673476696014404,2.240870714187622,0.2265625,0.2,2,2,0.0,mnist,multiclass_mlp,0.001
53,2.1662001609802246,2.2403714656829834,0.2265625,0.2,2,2,0.0,mnist,multiclass_mlp,0.001
54,2.1649839878082275,2.239828109741211,0.2265625,0.21,2,2,0.0,mnist,multiclass_mlp,0.001
55,2.163752317428589,2.2393200397491455,0.2265625,0.21,2,2,0.0,mnist,multiclass_mlp,0.001
